Week,Day,Task,StartTime,EndTime,Level,CustomLevel
Week 32,Monday,Monkeytype.com,09:45,10:30,Priority,
Week 32,Monday,Rosetta Code ,10:45,12:20,Default,
Week 32,Monday,Work on Project Lima,14:30,15:30,Custom,Essential
Week 32,Monday,Aptitude 1,15:35,16:30,Default,
Week 32,Monday,Walking/Running,17:30,19:00,Priority,
Week 32,Monday,Aptitude 2,21:30,22:30,Default,
Week 32,Monday,Code Snippets practice,22:45,23:25,Default,
Week 33,Monday,Monkeytype.com,09:45,10:30,Priority,
Week 33,Monday,Rosetta Code ,10:45,12:20,Default,
Week 33,Monday,Work on Project Lima,14:30,15:30,Custom,Essential
Week 33,Monday,Aptitude 1,15:35,16:30,Default,
Week 33,Monday,Walking/Running,17:30,19:00,Priority,
Week 33,Monday,Aptitude 2,21:30,22:30,Default,
Week 33,Monday,Code Snippets practice,22:45,23:25,Default,
Week 34,Monday,Monkeytype.com,09:45,10:30,Priority,
Week 34,Monday,Rosetta Code ,10:45,12:20,Default,
Week 34,Monday,Work on Project Lima,14:30,15:30,Custom,Essential
Week 34,Monday,Aptitude 1,15:35,16:30,Default,
Week 34,Monday,Walking/Running,17:30,19:00,Priority,
Week 34,Monday,Aptitude 2,21:30,22:30,Default,
Week 34,Monday,Code Snippets practice,22:45,23:25,Default,
Week 35,Monday,Monkeytype.com,09:45,10:30,Priority,
Week 35,Monday,Rosetta Code ,10:45,12:20,Default,
Week 35,Monday,Work on Project Lima,14:30,15:30,Custom,Essential
Week 35,Monday,Aptitude 1,15:35,16:30,Default,
Week 35,Monday,Walking/Running,17:30,19:00,Priority,
Week 35,Monday,Aptitude 2,21:30,22:30,Default,
Week 35,Monday,Code Snippets practice,22:45,23:25,Default,
Week 31,Saturday,Monkeytype.com,09:45,10:30,Priority,
Week 31,Saturday,Rosetta Code ,10:45,12:20,Default,
Week 31,Saturday,Work on Project Lima,14:30,15:30,Custom,Essential
Week 31,Saturday,Aptitude 1,15:35,16:30,Default,
Week 31,Saturday,Walking/Running,17:30,19:00,Priority,
Week 31,Saturday,Aptitude 2,21:30,22:30,Default,
Week 31,Saturday,Code Snippets practice,22:45,23:25,Default,
Week 32,Saturday,Monkeytype.com,09:45,10:30,Priority,
Week 32,Saturday,Rosetta Code ,10:45,12:20,Default,
Week 32,Saturday,Work on Project Lima,14:30,15:30,Custom,Essential
Week 32,Saturday,Aptitude 1,15:35,16:30,Default,
Week 32,Saturday,Walking/Running,17:30,19:00,Priority,
Week 32,Saturday,Aptitude 2,21:30,22:30,Default,
Week 32,Saturday,Code Snippets practice,22:45,23:25,Default,
Week 33,Saturday,Monkeytype.com,09:45,10:30,Priority,
Week 33,Saturday,Rosetta Code ,10:45,12:20,Default,
Week 33,Saturday,Work on Project Lima,14:30,15:30,Custom,Essential
Week 33,Saturday,Aptitude 1,15:35,16:30,Default,
Week 33,Saturday,Walking/Running,17:30,19:00,Priority,
Week 33,Saturday,Aptitude 2,21:30,22:30,Default,
Week 33,Saturday,Code Snippets practice,22:45,23:25,Default,
Week 34,Saturday,Monkeytype.com,09:45,10:30,Priority,
Week 34,Saturday,Rosetta Code ,10:45,12:20,Default,
Week 34,Saturday,Work on Project Lima,14:30,15:30,Custom,Essential
Week 34,Saturday,Aptitude 1,15:35,16:30,Default,
Week 34,Saturday,Walking/Running,17:30,19:00,Priority,
Week 34,Saturday,Aptitude 2,21:30,22:30,Default,
Week 34,Saturday,Code Snippets practice,22:45,23:25,Default,
Week 35,Saturday,Monkeytype.com,09:45,10:30,Priority,
Week 35,Saturday,Rosetta Code ,10:45,12:20,Default,
Week 35,Saturday,Work on Project Lima,14:30,15:30,Custom,Essential
Week 35,Saturday,Aptitude 1,15:35,16:30,Default,
Week 35,Saturday,Walking/Running,17:30,19:00,Priority,
Week 35,Saturday,Aptitude 2,21:30,22:30,Default,
Week 35,Saturday,Code Snippets practice,22:45,23:25,Default,
